rep,start,end,peak_idx,peak_time,rms,mdf,env_peak,rep_duration,is_fatigued,file_id,rms_rel_base,rms_delta_base,mdf_rel_base,mdf_delta_base,env_peak_rel_base,env_peak_delta_base,rep_duration_rel_base,rep_duration_delta_base,rms_diff1,rms_roll3_mean,mdf_diff1,mdf_roll3_mean,env_peak_diff1,env_peak_roll3_mean,peak_time_diff1
3,14138,21001,16509,8.2545,488.2798519380318,64.453125,799.1304491895817,6863,0,09-04,1.112240838122494,49.27434593525362,1.0531914893444927,3.2552083333333357,1.1448364650472131,101.10022951494841,0.9803818865766896,-137.33333333333303,38.55681243800956,439.0055060027782,7.8125,61.197916666666664,161.41061410952875,698.0302196746333,2.3705
4,21001,27677,25494,12.747,478.6937873293523,64.453125,601.659649399506,6676,0,09-04,1.0904049739304011,39.6882813265741,1.0531914893444927,3.2552083333333357,0.8619392577001758,-96.3705702751273,0.9536688729106775,-324.33333333333303,-9.586064608679521,472.2322262558021,0.0,61.848958333333336,-197.47079979007572,679.5033112230468,4.4925
5,27677,32095,29861,14.9305,556.9665780329283,66.40625,855.2179330340194,4418,0,09-04,1.268700666428851,117.96107203015009,1.0851063829609924,5.208333333333336,1.2251875476557872,157.18771335938618,0.631112804152093,-2582.333333333333,78.27279070357599,507.98007243343744,1.953125,65.10416666666667,253.5582836345135,752.0026772077023,2.1835000000000004
6,32095,36728,34329,17.1645,603.7035799484235,54.6875,917.4141559799571,4633,0,09-04,1.3751617501198898,164.69807394564526,0.8936170212619937,-6.510416666666664,1.3142900265926438,219.3839363053238,0.6618256273509839,-2367.333333333333,46.73700191549517,546.4546484369014,-11.71875,61.848958333333336,62.19622294593762,791.4305794711609,2.234
7,36728,41502,39127,19.5635,640.2265631255143,60.546875,1188.1972505815193,4774,0,09-04,1.458356568129249,201.2210571227361,0.9893617021114931,-0.6510416666666643,1.702214627804597,490.167030906886,0.681967525355838,-2226.333333333333,36.52298317709085,600.2989070356219,5.859375,60.546875,270.7830946015622,986.9431131984987,2.399000000000001
8,41502,46290,43878,21.939,664.8027503445492,60.546875,1316.007018574916,4788,1,09-04,1.5143380692332995,225.79724434177098,0.9893617021114931,-0.6510416666666643,1.8853152506584163,617.9767989002827,0.6839674301222775,-2212.333333333333,24.576187219034864,636.2442978061623,0.0,58.59375,127.80976799339669,1140.539475045464,2.375499999999999
9,46290,51663,48703,24.3515,681.3321450796905,52.734375,1260.1261221380933,5373,1,09-04,1.5519899768041332,242.32663907691227,0.8617021276454939,-8.463541666666664,1.8052601257344698,562.09590246346,0.7675348792913527,-1627.333333333333,16.529394735141295,662.1204861832513,-7.8125,57.942708333333336,-55.880896436822695,1254.776797098176,2.4125000000000014
10,51663,57111,54623,27.3115,679.1505609321024,48.828125,1179.1286807779002,5448,1,09-04,1.5470205991590855,240.1450549293242,0.7978723404124944,-12.369791666666664,1.6892229699250385,481.0984611032669,0.7782486548258495,-1552.333333333333,-2.181584147588069,675.0951521187807,-3.90625,54.036458333333336,-80.99744136019308,1251.75394049697,2.9599999999999973
11,57111,67800,59599,29.7995,488.6217200311197,48.828125,1552.5211418080332,10689,1,09-04,1.1130195711643638,49.61621402834152,0.7978723404124944,-12.369791666666664,2.2241460298516476,854.4909221334,1.5269272891764878,3688.666666666667,-190.5288409009827,616.3681420143042,0.0,50.130208333333336,373.39246103013306,1330.5919815746756,2.4879999999999995
1,0,8806,6422,3.211,318.0456465278353,68.359375,556.740853156603,8806,0,10-01,0.983988763088821,-5.175164986800382,0.972222222208395,-1.953125,1.0840605220561346,43.1709538491823,1.3613315469440335,2337.333333333333,0.0,318.0456465278353,0.0,68.359375,0.0,556.740853156603,0.0
